"PID","CWV","react","impact_rel","impact_comp","impact_quit","own_likeman","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","elg","og_pid","task","age","race","edu","income","gender","employment","feedback","income_num","edu_num","white","man"
98,2.3,"I believe the employee filed a complaint with HR.  Or at least I hope they did.  The employee was unfairly treated in my opinion.",1,7,7,1,5,2,1,1,2,5,1,1,4,1,1,1,10,"Not take time off for a relative's doctor's appointment",58,"white","2yearColl","$140,001-$160,000","man","Full-time",NA,8,3,1,1
99,1.2,"People felt stressed and burnt out. I'm sure they didn't work as hard for him next time or pushed themselves to do him a favor",2,6,7,1,1,1,1,1,1,2,1,1,2,1,1,1,38,"Work in teams to get a job done according to instructions",63,"white","PHD","Over $200,000","man","Full-time",NA,11,6,1,1
100,3.2,"I don't think anything happened to the manager himself. He saw that the employee was talking to a friend while being paid on the clock and didn't appreciate that. She continued the conversation a few more minutes after the manager said to go back to work. The employee's reaction was justified since they were not used to be yelled out at work. They should have just gone back to work but they decided to keep talking to finish the conversation which could have been done with a simple. ""Ok I have to go, I'll text you later.""",3,1,5,3,5,3,2,4,1,4,3,1,4,5,1,1,39,"Clean something that the janitor normally cleans",46,"multiracial","2yearColl","$60,001-$80,000","man","Full-time","I think it's important to be nice to your associates but at the same time they can't take that for granted.",4,3,0,1
101,2.1,"Nothing. There was probably only a warning given to the employee, and the employee most likely was mortified and never did it again.",1,7,7,1,1,3,1,7,1,1,3,1,1,2,1,1,12,"Stop taking breaks in tenants' apartments",34,"white","GED","$60,001-$80,000","man","Full-time",NA,4,2,1,1
102,1.8,"I don't think anything really ""happened"" to either the employee or the manager other than maybe a verbal reprimand. I think they had the heated argument, and then I think they both ""went their separate ways"" until they both cooled down. And then because they have to work together and because this wasn't violent or anything crazy, they just learned to accept the fact that they didn't see eye to eye on the issue. I'm not sure if everything went back to ""normal"", but I don't think anyone was punished. MAYBE the manager ended up in a meeting with THEIR higher-up and was verbally reprimanded for having the argument - and it's possible the employee did as well, but I don't think there was anything more of a punishment than a verbal reprimand.",1,1,6,1,2,2,1,2,1,2,1,1,1,5,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",39,"white","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,1,1
103,1.4,"I dont know I suuppose they had to talk to them because they were meant to talk to them I suppose",4,3,3,3,1,1,4,1,1,1,2,1,1,1,1,1,21,"Give customers a hand-massage to try out the lotion",49,"white","4yearColl","$40,001-$60,000","woman","Full-time",NA,3,4,1,0
104,2,"I don't think there were any consequences to the manager's demanding behavior even though the employee didn't agree with it.",1,7,6,3,2,2,2,1,2,2,2,2,2,3,1,1,38,"Work in teams to get a job done according to instructions",36,"white","2yearColl","$0-$20,000","man","Full-time",NA,1,3,1,1
105,2.6,"Nothing happened to the manager for talking to the employee like that, which is extremely frustrating. The employee seems bitter about it, and rightfully so. They're just doing their job more efficiently and getting berated for it.",1,5,6,1,4,1,2,2,1,5,2,2,2,5,1,1,28,"Complete the report like the rest of the team",23,"asian","GED","$40,001-$60,000","man","Part-time",NA,3,2,0,1
106,2.2,"I think the employee probably stood down and did as the manager demanded. I doubt there were any consequences to the manager's behavior.",2,6,6,1,5,4,1,1,1,5,1,1,1,2,1,1,7,"Use hand-made and uploaded images",35,"white","GED","$20,001-$40,000","woman","Full-time",NA,2,2,1,0
107,2.9,"They employee seems overwhemled. They seem like they do not quite understand why the managers are trying to get them onto a different project or do both.",2,4,5,2,2,3,2,3,2,3,3,2,5,4,1,1,13,"Spearhead a project for a new children's exhibit",32,"white","4yearColl","$40,001-$60,000","woman","Full-time",NA,3,4,1,0
109,2.1,"They were probably upset. They had to choose between their and their baby's health, or refusing and potentially losing the promotion. They were also threatened not to approach HR, which likely made them angry.",1,1,7,1,3,1,1,3,1,2,1,1,5,3,1,1,9,"While pregnant, fly cross-country to debut a product",48,"white","GED","$0-$20,000",NA,"Part-time",NA,1,2,1,NA
110,1.5,"The employees became hostile to him but did not challenge his orders.",1,3,7,1,2,1,1,1,2,1,1,1,2,3,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",23,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
111,1.7,"I believe the employee felt rushed and submitted his work prior to testing and what not. Most likely the blame was put on the employee.",1,5,7,4,1,2,1,1,2,4,3,1,1,1,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",31,"hispanic","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,0,1
112,1.6,"Given the employee's intimidation into not taking that work day off, I think that it caused hardship in the employee's personal life. I think that it is possible that the employee's mother missed her appointment or didn't have the support that she needed. The employee's reaction to the situation is understandable given how their supervisor reacted so strongly.",1,7,6,1,2,2,1,1,1,3,1,1,1,3,1,1,10,"Not take time off for a relative's doctor's appointment",39,NA,NA,NA,NA,"Full-time",NA,NA,NA,NA,NA
113,3.4,"It will make the employee feed bad and sad because the employee must have spent quality time going through a faster solution to the problem but since the manager behavior is awkward, the employee has to follow what the manager says in the company",1,1,6,2,6,1,6,7,1,7,2,2,1,1,1,1,28,"Complete the report like the rest of the team",30,"white","MA","$120,001-$140,000","man","Full-time",NA,7,5,1,1
114,2.3,"This probably stressed out the worker and created an environment where they couldn't do their job as effectively, potentially harming the overall project. The employee likely had to make concessions in quality to satisfy the manager's demand for an immediate product because speed seemed to be the manager's only desire.",1,5,6,2,3,2,1,2,1,3,2,1,5,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",43,"white","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,1,1
115,3,"I think that the employee may have been frustrated or felt helpless because of the manager's behavior.",2,5,6,3,3,2,1,2,2,7,1,4,2,6,1,1,51,"Wash the vehicle every day, even if late",25,"black","GED","$40,001-$60,000","man","Part-time",NA,3,2,0,1
116,1.8,"I think the employee's reaction was negative. The employee probably told the manager that they do their job and do not need their manager to assign extra things to do when the employee is keeping up with their work.",2,1,7,1,2,1,1,2,1,5,1,1,2,2,1,1,43,"Be more focused at work",61,"white","GED","$40,001-$60,000","woman","Part-time",NA,3,2,1,0
117,1.3,"I believe the employee probably responded poorly to the manager's behavior.  I'm sure the employee scheduled a meeting with the manager to discuss the behavior issues that were indicated.  Perhaps there was a misunderstanding the employee and manager were able to work it out without any conflict.",2,3,6,1,1,2,1,1,1,1,1,1,1,3,1,1,43,"Be more focused at work",34,"white","MA","Over $200,000","man","Full-time",NA,11,5,1,1
118,2.1,"The employee had to reschedule their mom's appointment. I think the supervisor acted in a very rude and careless way towards the coworker. I believe the supervisor should be fined and put on administrative leave because it was extremely rude and not nice towards the coworker.",1,5,7,1,4,2,2,1,3,3,1,1,1,3,1,1,10,"Not take time off for a relative's doctor's appointment",38,"hispanic","PHD","Over $200,000","man","Full-time",NA,11,6,0,1
120,2.5,"It sounds like the employee was forced to work an extra shift.  She was obviously not very happy about it, and the consequences to managers behavior probably wasn't immediate, but probably lowered moral in their workplace, and made the nursing home a more frustrating place to work in.",2,7,6,2,5,2,2,2,1,6,1,1,3,2,1,1,42,"Take up a colleague's duty as the employee was signing out",44,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
121,3.6,"I believe the employee rescheduled her mom's appointment as the employer was very angry with her.",2,4,6,1,4,4,5,5,3,4,4,2,2,3,1,1,10,"Not take time off for a relative's doctor's appointment",22,"asian","4yearColl","$20,001-$40,000","man","Part-time",NA,2,4,0,1
122,3.6,"Based on the scenario that I just read, this will definitely make the employee to have a bad perception about the manager. This won't foster cordial relationship between them eventually.",3,3,3,2,4,2,5,4,2,5,1,6,4,3,1,1,29,"Help in completing the manager's project",24,"black","MA","$100,001-$120,000","man","Part-time",NA,6,5,0,1
123,1.8,"I really have no idea because I've never had a job working with the public but I do agree with her. She probably wasn't fired because I can't believe a company would force her to work with specific parts of people's bodies. She probably will be looked down by her manager for a while at least until it's forgotten.",2,1,6,1,4,1,1,1,1,6,1,1,1,1,1,1,21,"Give customers a hand-massage to try out the lotion",70,"white","2yearColl","$40,001-$60,000","woman","Full-time",NA,3,3,1,0
124,3.1,"I dont think anything happened to the manager and the employee just has to do better with being on time or stay later to wash the vehicle.",2,2,5,2,5,4,3,1,1,6,4,1,1,5,1,1,51,"Wash the vehicle every day, even if late",43,"white","GED","$0-$20,000","man","Full-time",NA,1,2,1,1
125,3.7,"There was probably some level of disciplinary action.",2,3,4,3,3,3,3,4,4,3,5,2,6,4,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",35,"white","4yearColl","$140,001-$160,000","man","Full-time",NA,8,4,1,1
126,2.7,"The manager should be disciplined or possibly fired for trying to force the employee to work through intimidation. I'm not sure the legality of that situation. The employee was understandably intimidated in the moment and gave into the pressure.",1,7,7,1,3,3,2,2,2,5,2,2,3,3,1,1,10,"Not take time off for a relative's doctor's appointment",33,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
127,2.9,"The employee's reaction to what happened sounded like they were offend or hurt by what the boss said about their performance after vacation. I think the bosses approach was completely wrong and as a consequence will be disciplined somehow by the company may fired.",1,6,7,1,7,3,1,1,1,6,1,3,1,5,1,1,43,"Be more focused at work",32,"black","4yearColl","$20,001-$40,000","man","Full-time",NA,2,4,0,1
128,2.6,"I think the employee had become overwhelmed trying to do something that she/he can't physically do. I think the employee decided to quit because it would too much pressure.",2,2,7,2,2,2,2,1,2,7,1,1,1,7,1,1,31,"Clean the rooms faster",31,"black","2yearColl","$20,001-$40,000","woman","Full-time",NA,2,3,0,0
129,3.7,"The employee eventually left due to their mental health worsening. They were getting physically ill and could not take it anymore.",1,6,7,1,5,3,2,5,4,5,3,3,3,4,1,1,47,"Work in freezer while having the flu",53,"white","4yearColl","$20,001-$40,000","man","Part-time",NA,2,4,1,1
130,2.1,"I think the worker got even more sick and nothing happened to the manager.",1,5,7,1,2,2,2,2,2,3,1,2,3,2,1,1,47,"Work in freezer while having the flu",53,"white","MA","$20,001-$40,000","woman","Full-time",NA,2,5,1,0
131,3,"I presume the testing was not given the opportunity to complete its necessary, full effort. Management probably forced their hand and had them sign off on the work to push it to release. And if anything went wrong after the fact, it was probably blamed on the low-level tester and them not doing an adequate job.",2,5,5,2,5,2,2,6,2,3,3,1,3,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",38,"white","MA","Over $200,000","man","Full-time",NA,11,5,1,1
132,2.7,"It sounds like the manager was over bearing in his oversite on the project. Because of this the team would be more hesitant to do a good job, for fear of the boss. It is a case of micromanaging a team.",1,5,7,1,3,3,1,5,3,3,1,2,1,5,1,1,38,"Work in teams to get a job done according to instructions",77,"white","4yearColl","$20,001-$40,000","woman","Full-time","none",2,4,1,0
133,2.5,"The person was unable to fulfill their duty and likely would have received a reprimand. The employee felt taken advantage of and helpless. Overall, the employee feel as though the whole workplace was at fault and might even seek out other employment.",1,7,7,1,5,6,1,1,2,3,2,1,2,2,1,1,42,"Take up a colleague's duty as the employee was signing out",38,NA,"MA","$160,001-$180,000","man","Full-time",NA,9,5,NA,1
135,4,"I think that a the writer probably started following the managers guidelines, but then stopped working as hard and put less effort into completing the project.  This probably led to a lesser quality overall result.",3,2,5,1,5,5,4,3,2,6,3,2,5,5,1,1,29,"Help in completing the manager's project",31,"multiracial","MA","$100,001-$120,000","woman","Full-time",NA,6,5,0,0
136,3.1,"I think that the manager's efforts were at least somewhat successful and was met with success overall, however there could be some downsides. I believe the positives are short term only because the manager would have to micromanage everything and put pressure on others. It is certainly a way to get results, but people can only take so much so I'm not sure about the long term benefits, if any.",3,4,3,2,5,2,1,4,2,4,2,1,4,6,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",25,"asian","4yearColl","$20,001-$40,000","man","Part-time",NA,2,4,0,1
137,1.6,"I assume that the employee made a complaint regarding their manager’s behavior. This was because they were verbally accosted.",1,3,7,1,2,2,1,1,2,1,2,1,2,2,1,1,7,"Use hand-made and uploaded images",45,"hispanic","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,0,0
138,2.3,"The consequences are negative, all around. The manager was not correct with accusatory behavior. In return, the employee will hold resentment and not feel valued in the company anymore. It IS NOT the employee's job to push for donations, in my opinion.",1,3,7,1,5,2,2,1,2,5,1,1,2,2,1,1,30,"Get more customers to donate to charity",50,"hispanic","4yearColl","$80,001-$100,000","man","Full-time","Very interesting. Thank you",5,4,0,1
139,1.7,"I think the paperwork was indeed rejected and the manager blamed his subordinate. The employee wasn't surprised but was still upset.",1,7,7,1,2,2,1,1,2,2,2,1,2,2,1,1,22,"File paperwork that the employee thinks is incorrect",48,"white","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,1,1
140,4,"As a consequence I think a product that has not being properly vetted will be released for users and a lot of things might go wrong. The employee sounds like he is against it.",3,3,5,1,5,3,6,5,3,5,2,5,3,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",29,"black","2yearColl","$40,001-$60,000","man","Part-time",NA,3,3,0,1
141,3.4,"The manager was rushing the employee and I think it distracted the employee from getting the job done.  I also think the project may cause harm because it was not properly tested.",2,2,6,2,5,4,3,3,2,5,2,4,3,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",35,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
142,3,"The manager got upset. He had a right to get upset, however I felt that the manager blew his anger out of proportion.",2,3,5,2,5,3,2,1,3,5,2,2,2,5,1,1,42,"Take up a colleague's duty as the employee was signing out",35,"black","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,0,0
143,2.6,"It is almost as if she was being forced to do something she didn't want to, against her will. It may be a strain in the relationship between the manager and the employee, I the employee might want to quit under such conditions. Also the manager may want to find someone else who is more willing to do the work.",2,1,7,2,4,2,1,3,2,4,2,3,2,3,1,1,21,"Give customers a hand-massage to try out the lotion",53,"white","4yearColl","$60,001-$80,000","man","Part-time",NA,4,4,1,1
144,3.6,"The employee would be sad and feel bullied. The employ has the right to report and should be considered of her condition. It is wrong to bully an employee in the manner she was bullied.",1,1,7,1,5,3,2,5,5,5,3,2,3,3,1,1,9,"While pregnant, fly cross-country to debut a product",25,"black","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,0,1
145,2.1,"The employees experienced some emotional turmoil as their routine was thrown off by excessive micromanaging.",1,4,6,1,1,4,1,2,2,3,1,2,1,4,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",41,"black","MA","$120,001-$140,000","man","Full-time",NA,7,5,0,1
146,1.5,"I think the employee did the work but felt frustrated and annoyed. The worker probably eventually quit.",1,3,7,1,1,1,1,4,1,1,1,1,2,2,1,1,15,"Produce a great deal of documentation and research without additional compensation",NA,"white","PHD","Over $200,000","man","Full-time",NA,11,6,1,1
147,3.9,"I can't really say, it could go a number of ways. I always assume the worse though so the employee's reaction was negative.",1,1,1,5,7,1,6,7,2,6,1,6,1,2,1,1,47,"Work in freezer while having the flu",37,"white","4yearColl","$140,001-$160,000","man","Full-time",NA,8,4,1,1
148,2.3,"I think the employee took offence to the managers attitude and felt frustrated. They felt like their achievements aren't recognized and that they're not respected as an employee.",1,6,7,1,3,2,1,2,1,5,3,1,2,3,1,1,28,"Complete the report like the rest of the team",41,"white","2yearColl","$0-$20,000","woman","Part-time",NA,1,3,1,0
149,2,"I assume that nothing happened to the manager and that the person who wrote the statement had to change their own methods to be more like their manager's. I'm sure that the employee felt surprised by the manager's accusations and then felt deflated in regards to the work. If it were me, I would want to put in less effort and care towards the project from here on out.",1,6,6,1,2,2,1,1,2,6,1,1,1,3,1,1,29,"Help in completing the manager's project",34,"white","2yearColl","$40,001-$60,000","woman","Full-time",NA,3,3,1,0
150,2.3,"I am guessing the employee did not feel that the manager was at all invested in her success. The employee perhaps felt disposable as well as anxious. The employee may have given up and quit due to lack of support from their manager.",1,2,1,1,1,3,2,1,4,3,3,1,2,3,1,1,31,"Clean the rooms faster",61,"white","MA","Over $200,000","woman","Full-time",NA,11,5,1,0
151,2.8,"I believe the employee felt she had no say in the matter. I am certain as a subordinate to her manager, she felt her hands were tied and that she needed to comply with her manager's request. The nursing industry is brutal and known to be overexerting, so I am also sure the employee knew that things such as this just come with the territory.",2,7,5,1,5,5,2,2,1,5,2,1,2,3,1,1,42,"Take up a colleague's duty as the employee was signing out",45,"asian","4yearColl","$140,001-$160,000","woman","Full-time",NA,8,4,0,0
152,3.3,"The employee was made to stay to work and cover the tasks assigned to her regardless of how tired she may have been.  She was overworked and over tired and may have reported the incident to human resources as to not have it happen again.",1,4,6,1,4,4,1,2,2,7,2,1,4,6,1,1,42,"Take up a colleague's duty as the employee was signing out",39,"hispanic","4yearColl","$100,001-$120,000","woman","Full-time",NA,6,4,0,0
153,2.1,"Either the employee would wind up quitting or he would file a grievance against the manager and there would be consequences for the manager.",1,2,1,1,4,3,1,1,2,2,1,2,2,3,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",39,"white","MA","$40,001-$60,000","man","Full-time",NA,3,5,1,1
154,2.8,"The employee was upset at the manager but ended up giving hand massages to keep her job.",2,5,6,2,4,3,1,3,2,2,2,2,5,4,1,1,21,"Give customers a hand-massage to try out the lotion",45,"white","GED","$20,001-$40,000","man","Part-time",NA,2,2,1,1
155,3.8,"There's nothing an employee can do to a manager's behaviour,however the manager behaves. You'll have to endure with however your manager acts. The manager is always right,there is no two way around it. If it's the other way round the manger has right to do anything to the employee cause the employee works under him.",3,4,4,3,3,4,5,5,3,5,3,3,4,3,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",25,"white","4yearColl","$60,001-$80,000","man","Full-time","No comment",4,4,1,1
156,1.3,"I think the employees probably did not react well to the manger's demeanor during the meeting. People do not typically respond very well to an authoritative tone. I think the employees would have preferred a meeting in which they could give their input and work together with the manger to achieve her goals. That was not possible given the manner in which this overbearing manager conducted the meeting.",1,3,7,1,3,2,1,1,1,1,1,1,1,1,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",49,"white","2yearColl","$100,001-$120,000","woman","Full-time",NA,6,3,1,0
157,3.2,"considering the type of charactor that the manager seems to be, it seems termination would be the expected outcome dor this employee for not doing as requested. The employee rightfullly so is complaining as he should not be responcible for such matters",1,2,7,2,5,3,2,5,6,4,1,2,2,2,1,1,22,"File paperwork that the employee thinks is incorrect",NA,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
158,4.1,"I think the manager succeeded in putting the software engineer under a lot of pressure which in return made the software engineer work under conditions not known to be suitable for bringing out the best possible result in humans. 
I think the software engineer might have been able to finish up the project because of the pressure that was mounted on him, but overall I think the quality of work that would be delivered would not be up to the standard of work that is usually done by the software engineer which in return might not make him like the project as much as he is supposed to. He didn't get enough time to test so he doesn't know what to expect from what was developed.",2,6,6,3,5,5,3,5,5,5,3,3,4,3,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",27,"white","MA","$60,001-$80,000","man","Part-time",NA,4,5,1,1
159,3.8,"The employee was probably less likely to make a concerted effort to solicit donations from customers. Positive reinforcement would have been a better approach in this scenario. Instead, the employee who felt they were trying their best now feels demotivated to complete their job",2,5,2,2,5,5,4,5,2,6,3,2,2,4,1,1,30,"Get more customers to donate to charity",29,"white","4yearColl","$140,001-$160,000","man","Full-time",NA,8,4,1,1
160,2.6,"I imagine the employee was reluctant to provide suggestions and ideas in the future.",2,4,5,1,3,3,2,2,2,3,3,2,3,3,1,1,28,"Complete the report like the rest of the team",42,"white","4yearColl","$60,001-$80,000","man","Full-time","Thank you",4,4,1,1
161,3.8,"I think the consequence of the manager's behavior will either yield a positive result or a negative one. The employee is concerned about the manager behavior.",3,5,4,2,4,3,4,5,3,6,2,6,2,3,1,1,19,"Make more sales",26,"white","MA","$60,001-$80,000","man","Part-time",NA,4,5,1,1
162,3.7,"I think she had good leadership she was strong and direct. It didn’t seem bad to me.",6,6,2,3,4,3,3,4,5,4,2,5,2,5,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",35,"white","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,1,1
164,3.1,"I think the manager was used to being this way nothing happened. I think the employee got even sicker and had to take off work.",2,7,6,1,6,4,1,1,4,5,1,1,1,7,1,1,47,"Work in freezer while having the flu",40,"black","MA","$80,001-$100,000","man","Full-time",NA,5,5,0,1
165,4.5,"The employee reacted to their manager's behavior by quitting and finding a better job where the manager treats their employees fairly.",1,1,7,1,5,4,2,7,3,7,2,3,5,7,1,1,19,"Make more sales",31,"white","GED","$20,001-$40,000","woman","Part-time",NA,2,2,1,0
166,2.7,"Regardless of if the manager's ideas are correct, it sounds like he went about enacting changes in a pretty stupid way. Suggesting that the manager shows poor leadership qualities. The Program manager probably felt uncomfortable and as if they were being spoken down to",1,5,6,4,2,2,2,2,2,2,6,1,6,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",37,"white","GED","$40,001-$60,000","man","Full-time",NA,3,2,1,1
167,5.1,"I do not know what happen to the manager. There was a woman up for promotion , who was 34 weeks pregrant and could not fly to present a product to the board of director so i assume she did not get the promotion because she could not perform her job.",2,1,5,1,6,6,2,7,6,6,3,4,5,6,1,1,9,"While pregnant, fly cross-country to debut a product",48,"white","4yearColl","$40,001-$60,000","man","Full-time",NA,3,4,1,1
168,2.6,"The employee knew that it wasn't allowed hence after being marched to the managers office he said nothing and walked out.",1,7,4,5,7,1,1,2,1,7,1,4,1,1,1,1,12,"Stop taking breaks in tenants' apartments",27,"hispanic","GED","$60,001-$80,000","woman","Part-time",NA,4,2,0,0
169,3.3,"I think the employee would end up doing it, but I am sure he was very offended",2,5,7,1,4,2,5,6,2,5,1,2,3,3,1,1,15,"Produce a great deal of documentation and research without additional compensation",44,"asian","2yearColl","$40,001-$60,000","man","Full-time",NA,3,3,0,1
170,2.2,"I would think that the employee would lose respect for the manager. They might do things out of obligation and fear, but they wouldn't be inclined to put any extra effort into anything. They'd probably also be looking for a different job where they don't have an unnecessarily stressful work environment.",1,7,7,1,2,2,2,2,2,2,2,2,3,3,1,1,10,"Not take time off for a relative's doctor's appointment",52,"white","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,1,0
171,3.8,"The worker probably was frustrated about the employer's demands. The worker could have been burned out while looking for said images, and as a result, the hand-drawn images may have come out sloppy and unpolished. This could have resulted in low sales.",2,2,6,1,6,3,4,4,3,6,3,3,3,3,1,1,7,"Use hand-made and uploaded images",24,"black","4yearColl","$20,001-$40,000","man","Full-time",NA,2,4,0,1
172,2.8,"I think the employee would feel angry and resentful and be less inclined to give the job their all or keep working for that manager in the future.",1,6,7,1,4,5,2,1,3,3,1,1,3,5,1,1,30,"Get more customers to donate to charity",40,"white","MA","Over $200,000","man","Full-time",NA,11,5,1,1
173,3.9,"The team members started to doubt their commitment to the organization and looked for other employment possibilities because they felt insulted and irritated by the manager's irrational demands and verbal abuse.",2,4,6,3,3,2,4,6,6,4,4,5,3,2,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",25,"black","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,0,0
174,4,"The manger push for work quickly and finish it earlier, but it make a employers very stressful so they not good about manager.",5,5,5,4,6,4,5,6,3,6,2,5,1,2,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",35,"white","4yearColl","$120,001-$140,000","man","Full-time","interesting study.",7,4,1,1
175,2.8,"I see no fault in the employee responding directly to the CFO especially since the CFO was the one to reach out. The manager's reaction was definitely unnecessary and an overreaction. Depending on how upset he made the employee, HR could potentially be brought in to mediate.",2,1,6,2,4,4,2,2,2,5,2,1,3,3,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",40,"asian","4yearColl","$100,001-$120,000","woman","Full-time",NA,6,4,0,0
176,3.3,"I think that the employee were be very upset now. This would make them frustrated and not as happy to work hard for their manager. As a result, they would now change their behavior at work and work a little less well because it.",2,3,6,1,3,2,5,2,2,5,5,1,2,6,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",37,"multiracial","MA","$0-$20,000","man","Full-time",NA,1,5,0,1
177,2.4,"The manager is entitled to make a reasonable request of the employee. The employee stated his concern with the request and the manager wanted him to do it his way. Seeing as the employee is not paid a commission based on his output, he is being unreasonable to tell the manager he will not comply if that is the case. He needs to do the job he is paid to do.",1,3,6,4,5,2,2,1,3,3,2,2,2,2,1,1,7,"Use hand-made and uploaded images",42,"white","4yearColl","$120,001-$140,000","woman","Full-time",NA,7,4,1,0
178,2.9,"The employee was upset that the manager yelled at him. He may consider quitting his job as that is disrespectful to do. He probably went and cleaned like the manager ask, but his overall job satisfaction is reduced.",2,3,2,1,5,2,2,2,2,5,3,2,3,3,1,1,39,"Clean something that the janitor normally cleans",35,"white","MA","Over $200,000","woman","Part-time",NA,11,5,1,0
179,3.2,"i thing the manager needs to chill and understand the employee better, since the employee was not found doing any wrong thing",2,7,6,2,5,3,2,2,3,5,1,3,4,4,1,1,12,"Stop taking breaks in tenants' apartments",28,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
180,3.3,"Discriminating against an employee due to her pregnancy could have serious legal consequences for the manager. The affected staff member may experience feelings of betrayal, stress and unfair treatment prompting them to reach out to HR in order to safeguard their rights while pregnant.",4,4,3,2,2,1,6,6,2,4,3,6,1,2,1,1,9,"While pregnant, fly cross-country to debut a product",32,"white","4yearColl","$40,001-$60,000","woman","Full-time","it was good",3,4,1,0
181,2.6,"The employee didn't specifically state their reaction, but I would guess the manager's rude and strict behavior made them upset. The manager may have lost the respect of the employees.",2,3,5,1,3,3,3,1,2,4,1,2,3,4,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",26,"white","GED","$60,001-$80,000","woman","Unemployed",NA,4,2,1,0
182,2.6,"I think the manager may have continued to be mean to the employee and maybe even wrote the employee up. Hopefully, the employee realized they did not deserve to be yelled out, but I'm guessing the smile with the friend did not go over well with the manager.",2,4,6,1,2,3,1,2,2,5,4,2,2,3,1,1,39,"Clean something that the janitor normally cleans",47,"white","MA","$80,001-$100,000","woman","Full-time",NA,5,5,1,0
183,2.4,"I think the employee felt even more pressure and stress as a result of being contacted over and over again by their manager.  Being pressured to complete a task that requires a great deal of effort, does not make it happen faster.  If anything, it causes stress and can potentially lead to errors occurring.",1,1,6,1,2,2,2,2,2,2,6,2,2,2,1,1,52,"Sign off on a module that had to be delivered, despite it not being fully complete",50,NA,"GED","$60,001-$80,000","woman","Full-time",NA,4,2,NA,0
184,2.5,"I think he probably quite the job and sought another.",1,1,7,1,1,7,1,1,4,4,1,1,4,1,1,1,19,"Make more sales",30,"black","4yearColl","$60,001-$80,000","man","Part-time",NA,4,4,0,1
185,2.6,"The social media revamp probably failed.  While strong leadership is important, it is also important to utilize the experiences and expertise of your subordinates.  The attitude betrayed seemed like a ""my way or the highway"" mindset.",2,4,6,1,3,3,1,1,3,5,2,2,3,3,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",54,"white","MA","$100,001-$120,000","man","Full-time","It would be interesting if you gave the results of the revamp.",6,5,1,1
186,3.1,"I would not be happy about it. I would think that this is something that could have been brought up earlier. Nothing probably happened as a consequence though, because this is how it normally goes. I'm not sure that anything ever happens to managers who are just bad at their job.",2,2,6,1,2,3,2,3,3,3,5,4,2,4,1,1,42,"Take up a colleague's duty as the employee was signing out",37,"white","MA","Over $200,000","man","Full-time",NA,11,5,1,1
