"PID","choice","points","attitude","rec","is_dom","MID","message","age","race","edu","income","gender","employment","feedback"
127,"Yes",38,3,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",25,"white","4yearColl","Over $200,000","woman","Full-time",""
128,"Yes",39,6,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",45,"white","2yearColl","$40,001-$60,000","man","Full-time","n/a"
129,"Yes",22,7,1,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",24,"white","MA","$120,001-$140,000","man","Full-time",NA
130,"Yes",41,3,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",32,"white","MA","$160,001-$180,000","man","Full-time",""
131,"Yes",46,6,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",41,"white","GED","$40,001-$60,000","woman","Full-time",""
132,"Yes",42,7,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",51,"black","MA","$60,001-$80,000","man","Full-time","no"
133,"No",0,4,0,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",24,"white","4yearColl","$0-$20,000","woman","Part-time",""
134,"Yes",4,4,1,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",37,"asian","4yearColl","$120,001-$140,000","man","Full-time",""
135,"Yes",50,6,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",26,"white","GED","$0-$20,000","woman","Part-time",""
136,"Yes",38,3,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",71,"white","MA","$20,001-$40,000","woman","Retired",""
137,"Yes",44,4,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",31,"white","MA","$80,001-$100,000","woman","Full-time",""
138,"Yes",0,6,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",52,"white","4yearColl","$40,001-$60,000","woman","Full-time","good"
139,"Yes",44,2,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",54,"white","4yearColl","$140,001-$160,000","woman","Temporarily laid off","some of the images were to small to recognize the shape"
140,"No",0,1,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",33,"multiracial","2yearColl","$40,001-$60,000","man","Full-time",""
141,"Yes",30,4,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",56,"hispanic","GED","$40,001-$60,000","man","Part-time","Some of the arrows were really difficult to see (too small, too low resolution)"
142,"Yes",13,4,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",39,"white","GED","$100,001-$120,000","man","Full-time",""
143,"Yes",30,6,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",NA,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
144,"No",0,6,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",27,"white","4yearColl","$60,001-$80,000","woman","Full-time","N/A"
145,"Yes",42,3,0,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",25,"hispanic","4yearColl","$80,001-$100,000","man","Part-time","None, thanks."
146,"Yes",32,3,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",47,"white","MA","$60,001-$80,000","woman","Full-time",""
147,"Yes",30,4,0,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",48,"white","MA","Over $200,000","woman","Full-time",""
148,"No",0,4,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",47,"hispanic","GED","$40,001-$60,000","man","Full-time",""
149,"Yes",36,7,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",39,"white","2yearColl","$60,001-$80,000","woman","Part-time",""
150,"Yes",36,7,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",28,"white","4yearColl","$40,001-$60,000","woman","Full-time, Student",""
151,"No",0,4,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",55,"white","MA","$40,001-$60,000","woman","Full-time",""
152,"Yes",28,6,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",29,"white","4yearColl","$80,001-$100,000","man","Full-time",""
153,"Yes",23,2,1,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",31,"white","4yearColl","$140,001-$160,000","woman","Full-time",""
154,"Yes",40,6,1,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",34,"white","2yearColl","$40,001-$60,000","man","Full-time",""
155,"Yes",12,6,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",54,"white","2yearColl","$40,001-$60,000","man","Full-time",""
156,"Yes",48,6,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",24,"black","4yearColl","$140,001-$160,000","man","Full-time",""
157,"Yes",20,4,1,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",57,"black","2yearColl","$60,001-$80,000","woman","Full-time",""
158,"Yes",8,7,1,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",35,"white","MA","$80,001-$100,000","man","Full-time","good"
159,"Yes",42,7,1,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",28,"white","GED","$60,001-$80,000","woman","Full-time",""
160,"Yes",42,5,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",28,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
161,"Yes",42,6,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",50,"white","MA","Over $200,000","man","Full-time",""
162,"Yes",43,4,1,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",41,"black","GED","$0-$20,000","man","Part-time",""
163,"Yes",48,1,1,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",60,"white","GED","$20,001-$40,000","woman","Full-time",""
164,"Yes",34,4,1,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",32,"white","GED","$0-$20,000","woman","Full-time",""
165,"Yes",38,7,1,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",52,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
166,"Yes",16,4,1,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",38,"white","4yearColl","$60,001-$80,000","man","Full-time","None"
167,"Yes",46,4,1,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",38,"black","2yearColl","$60,001-$80,000","man","Full-time",""
168,"Yes",46,2,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",44,"white","MA","$140,001-$160,000","woman","Full-time",""
169,"Yes",48,1,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",NA,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
170,"Yes",42,4,1,0,"TO642sj","You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.",45,"white","2yearColl","$120,001-$140,000","man","Full-time",""
171,"Yes",36,7,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",39,"white","MA","$40,001-$60,000","man","Full-time","A good survey"
172,"Yes",36,4,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",42,"asian","MA","$40,001-$60,000","woman","Full-time",""
173,"Yes",42,6,1,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",30,"white","4yearColl","$140,001-$160,000","woman","Full-time","everything was clear"
174,"Yes",44,7,1,0,"AC528ed","Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!",30,"white","MA","$60,001-$80,000","woman","Full-time",""
175,"No",0,4,0,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",34,"white","GED","$60,001-$80,000","woman","Full-time",""
176,"Yes",40,7,1,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",40,"white","PHD","$120,001-$140,000","man","Full-time",""
177,"Yes",34,2,1,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",44,"white","4yearColl","$100,001-$120,000","woman","Full-time",""
178,"Yes",48,6,1,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",35,"white","GED","$120,001-$140,000","woman","Full-time",""
179,"Yes",18,3,1,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",33,"asian","MA","$160,001-$180,000","man","Full-time",""
180,"Yes",31,2,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",38,"white","PHD","$100,001-$120,000","woman","Full-time",""
181,"Yes",28,7,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",35,"white","MA","$80,001-$100,000","woman","Full-time",""
182,"Yes",40,5,0,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",36,"white","4yearColl","$40,001-$60,000","woman","Part-time",""
183,"Yes",32,1,0,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",67,"white","2yearColl","$80,001-$100,000","man","Retired",""
184,"Yes",18,2,0,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",NA,"white","MA","$20,001-$40,000","woman","Part-time",""
185,"Yes",17,2,1,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",37,"white","MA","$120,001-$140,000",NA,"Full-time",""
186,"Yes",31,1,0,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",40,"white","4yearColl","Over $200,000","woman","Full-time",""
187,"Yes",46,3,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",33,"white","4yearColl","$20,001-$40,000","man","Part-time","None"
188,"Yes",21,3,1,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",33,"white","GED","$20,001-$40,000","woman","Full-time",""
189,"Yes",32,7,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",51,"white","PHD","Over $200,000","man","Full-time",""
190,"Yes",38,7,1,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",23,"white","4yearColl","Over $200,000","woman","Part-time",""
191,"Yes",28,4,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",39,"multiracial","4yearColl","$100,001-$120,000","man","Full-time",""
192,"No",0,3,0,1,"YI774jh","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.",18,"white","GED","$20,001-$40,000","woman","Part-time",""
193,"Yes",46,4,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",31,"black","4yearColl","$40,001-$60,000","woman","Full-time",""
194,"Yes",48,7,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",51,"white","2yearColl","$100,001-$120,000","man","Full-time",""
195,"Yes",38,4,0,0,"HJ188qx","Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!",23,"white","noHS","$40,001-$60,000","woman","Part-time",NA
196,"No",0,1,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",40,"white","4yearColl","$40,001-$60,000","woman","Part-time",""
197,"No",0,1,0,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",45,"black","2yearColl","$40,001-$60,000","woman","Full-time",""
198,"No",0,1,0,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",42,"white","MA","$60,001-$80,000","woman","Full-time",""
199,"Yes",42,7,1,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",39,"white","GED","$40,001-$60,000","man","Unemployed","42? Seriously? Wow haha. I swear I did better."
200,"Yes",14,4,1,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",64,"white","GED","$0-$20,000","woman","Full-time",""
201,"Yes",43,3,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",42,"white","MA","$120,001-$140,000","woman","Full-time",""
202,"Yes",30,1,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",41,"hispanic","4yearColl","$60,001-$80,000",NA,"Full-time",""
203,"Yes",30,5,1,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",29,"black","MA","$40,001-$60,000","woman","Full-time",""
204,"Yes",13,6,1,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",31,"hispanic","GED","$20,001-$40,000","woman","Part-time",""
205,"Yes",40,6,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",32,"white","MA","$160,001-$180,000","woman","Full-time",""
206,"Yes",37,4,1,0,"SM837hk","Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.",38,"white","MA","$100,001-$120,000","man","Full-time",""
207,"Yes",44,7,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",37,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
208,"Yes",40,2,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",28,"white","4yearColl","$40,001-$60,000","woman","Part-time",""
209,"No",0,1,1,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",30,"white","MA","$60,001-$80,000","woman","Full-time",""
210,"Yes",38,3,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",46,"white","GED","$80,001-$100,000","man","Full-time",""
211,"Yes",43,4,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",39,"white","4yearColl","$100,001-$120,000","man","Full-time",""
212,"Yes",43,4,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",23,"white","GED","$20,001-$40,000","man","Part-time",""
213,"Yes",26,5,0,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",49,"white","GED","$0-$20,000","woman","Full-time",""
214,"No",0,1,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",38,"white","MA","$80,001-$100,000","woman","Part-time",""
215,"Yes",8,7,1,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",25,"black","MA","$60,001-$80,000","woman","Full-time",""
216,"Yes",44,5,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",30,"white","GED","$40,001-$60,000","woman","Full-time",""
217,"Yes",43,2,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",44,"black","MA","$100,001-$120,000","woman","Temporarily laid off",""
218,"Yes",44,3,1,1,"XD206yn","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.",37,"white","GED","$0-$20,000","man","Homemaker","Great survey "
219,"Yes",40,7,1,0,"KF800kz","I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!",33,"multiracial","GED","$20,001-$40,000","woman","Part-time",""
220,"Yes",22,4,1,0,"EP725gv","Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!",73,"white","MA",NA,"woman","Temporarily laid off",""
221,"Yes",35,4,1,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",39,"white","MA","$140,001-$160,000","woman","Full-time",""
222,"Yes",40,5,0,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",40,"white","MA","$40,001-$60,000","woman","Full-time",""
223,"Yes",50,2,1,1,"WC835pl","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.",25,"white","GED","$40,001-$60,000","woman","Part-time",""
224,"Yes",50,5,1,0,"TC529xj","We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!",31,"black","MA","$140,001-$160,000","woman","Full-time",""
225,"Yes",34,5,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",18,"black","noHS","$80,001-$100,000","woman","Full-time",""
226,"Yes",33,4,0,0,"JV696yc","I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.",24,"white","4yearColl","$20,001-$40,000","woman","Part-time",""
227,"Yes",11,2,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",42,"white","4yearColl","$140,001-$160,000","man","Full-time",""
228,"Yes",39,3,0,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",36,"white","2yearColl","$20,001-$40,000","woman","Full-time",""
229,"Yes",23,3,0,1,"OL009mq","Reminder those that do not complete the task will not be compensated properly.",30,"white","GED","$40,001-$60,000","woman","Full-time",""
230,"Yes",18,7,1,0,"UD880hg","I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!",45,"white","4yearColl","$60,001-$80,000","woman","Part-time",""
231,"Yes",37,2,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",30,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
232,"Yes",44,4,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",56,"white","MA","$120,001-$140,000","man","Full-time",""
233,"No",0,1,0,1,"XW406gb","This exercise determines your bonus. So do your best or your bonus will be affected.",44,"white","2yearColl","$0-$20,000","woman","Part-time",""
234,"Yes",19,5,1,0,"BA092or","Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.",44,"white","GED","$60,001-$80,000","woman","Full-time",""
235,"Yes",32,4,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",38,"asian","2yearColl","$60,001-$80,000","man","Full-time",""
236,"Yes",40,6,0,0,"VM414kq","This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.",43,"white","4yearColl","$60,001-$80,000","woman","Part-time",""
237,"Yes",45,4,1,1,"AB972vt","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.",19,"white","2yearColl","$160,001-$180,000","woman","Part-time, Student",""
238,"Yes",40,1,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",29,"asian","MA","$100,001-$120,000","woman","Full-time",""
239,"Yes",13,6,1,0,"BD990bc","Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.",60,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
240,"Yes",42,4,0,0,"XT894iw","You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.",39,"white","MA","$180,001-$200,000","man","Full-time",""
241,"Yes",15,5,1,0,"DV618ch","I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.",36,"white","4yearColl","$40,001-$60,000","man","Full-time",""
242,"Yes",42,4,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",68,"white","4yearColl","$140,001-$160,000","woman","Part-time",""
243,"Yes",43,7,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",58,"white","GED","$0-$20,000","woman","Other","This was fun. I was certain I got them all correct and surprised to see how many I missed. I was so very careful, thinking about the fact that we would both win. I love win-win situations!"
244,"No",0,1,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",39,"white","2yearColl","$120,001-$140,000","woman","Full-time",""
245,"Yes",40,3,1,0,"LW745iy","Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.",38,"white","MA","$120,001-$140,000","man","Full-time",""
246,"Yes",34,3,0,1,"JI806xu","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.",42,"white","4yearColl","$100,001-$120,000","man","Full-time",""
247,"Yes",45,3,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",34,"white","4yearColl","$120,001-$140,000","woman","Full-time",""
248,"Yes",48,2,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",33,"white","4yearColl","Over $200,000","man","Full-time",""
249,"No",0,3,0,1,"LC320iz","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.",26,"multiracial","MA","$80,001-$100,000","man","Full-time",""
250,"Yes",46,6,1,0,"VQ327uf","I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!",28,"white","4yearColl","$40,001-$60,000","woman","Part-time",""
251,"No",0,1,0,1,"PT099gj","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.",51,"white","4yearColl","$120,001-$140,000","man","Full-time",""
252,"Yes",27,7,1,0,"PA168kd","Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!",37,"white","GED","$40,001-$60,000","man","Full-time",""
253,"Yes",28,4,1,0,"RA103dx","We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!",32,"white","4yearColl","$140,001-$160,000","woman","Full-time",""
