"PID","message_choice","is_dom","CWV","message_aff","message_dom","choice_dom","comp_dom","attitude_dom","choice_aff","comp_aff","attitude_aff","nompred_dom","nompred_aff","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","MID_aff","MID_dom","age","race","edu","income","gender","employment","feedback"
58,"aff",0,2.7,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","do task",47,1,"do task",45,6,0,0,20,40,60,80,100,120,140,160,181,200,3,2,2,3,2,5,2,2,3,3,1,"PA168kd","YI774jh",35,"white","4yearColl","Over $200,000","woman","Full-time",""
59,"aff",0,2,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","skip task",26,2,"do task",33,6,0,1,16,34,49,58,72,87,103,114,166,200,2,2,2,2,2,2,2,2,2,2,1,"RA103dx","KJ482kw",66,"white","4yearColl","$20,001-$40,000","woman","Part-time",""
60,"aff",0,2.6,"Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","skip task",30,3,"do task",40,6,0,1,50,80,90,100,150,160,170,180,190,200,2,2,2,2,2,3,2,3,5,3,1,"BD990bc","YI774jh",49,"white","PHD","$60,001-$80,000","man","Full-time",""
61,"dom",1,2.8,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","do task",25,4,"do task",40,4,1,1,200,200,200,200,200,200,200,200,200,200,5,3,1,1,4,4,3,2,2,3,1,"XT894iw","ZC801er",68,"white","GED","$40,001-$60,000","woman","Retired",""
62,"aff",0,3.3,"This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","do task",45,2,"do task",50,6,1,1,38,82,110,126,145,165,168,200,200,200,5,2,2,2,2,4,3,5,5,3,1,"VM414kq","GV333wu",37,"asian","MA","$20,001-$40,000","woman","Part-time, Student",""
63,"aff",0,3.6,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","skip task",0,1,"do task",50,7,0,1,0,5,12,30,60,90,110,140,160,200,6,6,2,2,4,7,2,2,2,3,1,"JV696yc","GJ795ld",51,"hispanic","2yearColl","$80,001-$100,000","woman","Full-time","None at the moment"
64,"aff",0,1.9,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","skip task",0,1,"do task",30,4,0,0,200,200,200,200,200,200,200,200,200,200,1,4,2,1,1,4,1,1,2,2,1,"JV696yc","MR621vy",44,"white","GED","$100,001-$120,000","man","Full-time",""
65,"aff",0,2.2,"I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",45,1,"do task",45,5,0,1,20,20,40,40,60,60,100,125,160,200,2,2,1,2,2,1,2,2,3,5,1,"OA261ld","WC835pl",39,"white","4yearColl","$80,001-$100,000","man","Full-time",""
66,"aff",0,2.8,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","do task",40,2,"do task",45,7,0,1,0,0,0,32,64,104,135,159,177,200,5,3,1,2,3,4,3,1,3,3,1,"SM837hk","JI806xu",70,"white","4yearColl","$100,001-$120,000","man","Retired",""
67,"aff",0,2.2,"I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",35,5,"do task",49,6,0,1,18,44,64,96,0,0,1,2,0,200,2,2,2,1,1,5,3,1,1,4,1,"VQ327uf","XW406gb",47,"white","2yearColl","$60,001-$80,000","woman","Homemaker",""
68,"aff",0,2.7,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","do task",35,2,"do task",40,6,0,1,0,25,25,50,50,100,100,150,200,200,3,2,1,2,2,4,3,1,3,6,1,"SM837hk","XD206yn",26,"black","GED","$40,001-$60,000","man","Part-time",""
69,"aff",0,1.4,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","do task",50,7,"do task",50,7,0,1,24,20,37,48,75,100,124,150,175,200,1,1,1,1,2,2,1,1,2,2,1,"KF800kz","LC320iz",53,"white","2yearColl","$60,001-$80,000","woman","Full-time","When managing others I believe there's a way to talk to them and not being rude and condescending to get their assistance the right way so that everybody can benefit and that's whether employee employer or in real life situations to have respect for everyone"
70,"aff",0,2.9,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","Dear Employee. Your performance on this task is critical to your success at this company. If you cannot complete this task well, I will have to think about whether or not you are the right fit at the ocmpany. Remember, how I see your performance influences how I see you as a performer and whether or not I want to keep you on at this company. Don't just try your best, do your best.","do task",32,2,"do task",30,5,0,1,4,18,32,54,81,107,134,159,185,200,3,2,4,4,2,3,3,2,2,4,1,"XT894iw","YI774jh",58,"white","4yearColl","$180,001-$200,000","man","Full-time",""
71,"aff",0,2.8,"I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",40,2,"do task",50,7,0,1,0,0,0,0,0,0,0,160,180,200,4,1,1,2,4,4,1,1,5,5,1,"OA261ld","WC835pl",35,"black","4yearColl","$140,001-$160,000","man","Full-time",""
72,"aff",0,3.5,"I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","do task",40,3,"do task",45,6,1,1,25,50,70,80,90,100,125,150,175,200,5,5,2,4,3,3,3,3,4,3,1,"DV618ch","PT099gj",42,"white","MA","$120,001-$140,000","man","Full-time",""
73,"aff",0,2.7,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",41,6,"do task",46,7,0,1,10,36,62,89,107,126,164,172,188,200,5,3,2,2,2,5,1,3,2,2,1,"XT894iw","XW406gb",37,"white","GED","$100,001-$120,000","man","Full-time",""
74,"aff",0,2.4,"Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.","This exercise determines your bonus. So do your best or your bonus will be affected.","skip task",25,2,"do task",40,6,0,1,0,90,100,100,100,120,200,200,200,200,3,2,2,3,1,5,2,1,3,2,1,"BA092or","XW406gb",25,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
75,"aff",0,4.1,"Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","do task",41,5,"do task",45,7,0,1,149,159,167,166,166,166,170,173,177,171,6,2,5,4,2,6,2,6,5,3,0,"LW745iy","MR621vy",50,"asian","MA","$140,001-$160,000","woman","Full-time","na"
76,"aff",0,2,"Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!","Reminder those that do not complete the task will not be compensated properly.","skip task",20,2,"do task",46,7,0,1,0,0,0,0,0,15,50,100,170,200,3,4,1,2,1,3,1,1,2,2,1,"HJ188qx","OL009mq",32,"white","MA","$100,001-$120,000","woman","Full-time",""
77,"aff",0,3.3,"Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",12,2,"do task",29,6,1,1,0,15,18,52,78,77,108,109,110,115,3,4,3,3,2,3,3,2,5,5,1,"AC528ed","WC835pl",25,"white","GED","$20,001-$40,000","woman","Full-time",""
78,"dom",1,3.1,"Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","skip task",44,6,"do task",34,5,0,1,16,61,102,136,142,149,158,158,161,200,4,2,2,4,4,5,2,2,2,4,1,"AC528ed","LB941bt",64,"multiracial","4yearColl","$20,001-$40,000","man","Retired",""
79,"aff",0,2,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","skip task",40,1,"do task",45,7,0,1,50,50,100,100,120,120,150,175,200,200,3,2,1,2,2,2,2,2,2,2,1,"VD105li","LC320iz",28,"white","2yearColl","$60,001-$80,000","woman","Full-time","I don't have any comments; the survey was easy to understand and everything worked fine."
80,"aff",0,3,"Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",25,2,"do task",40,6,0,1,2,20,40,60,80,100,120,140,160,181,6,3,2,6,1,7,1,2,1,1,1,"BD990bc","XW406gb",39,"white","GED","$0-$20,000","woman","Full-time",""
81,"aff",0,2.6,"You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","do task",40,3,"do task",45,7,0,1,0,0,0,0,0,0,0,50,180,200,4,2,6,2,4,2,1,2,1,2,1,"TO642sj","KJ482kw",53,"hispanic","GED","$40,001-$60,000","man","Full-time",""
82,"aff",0,3,"Whether you do well or not, I appreciate your hard work at this company and will continue to support you.","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","do task",41,2,"do task",43,6,0,1,25,50,72,73,125,125,176,175,200,200,4,1,3,3,2,6,2,2,3,4,1,"HU074mk","PT099gj",51,"white","4yearColl","$80,001-$100,000","man","Full-time",""
83,"aff",0,2.1,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",20,1,"do task",40,6,0,1,101,125,140,150,170,175,200,200,200,200,2,2,1,1,1,3,2,1,4,4,1,"UD880hg","XD206yn",26,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
84,"dom",1,1.7,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","do task",40,2,"do task",25,5,0,1,100,150,200,200,200,200,200,200,200,200,3,1,1,3,1,1,1,1,4,1,1,"JV696yc","GV333wu",31,"white","MA","$140,001-$160,000","man","Full-time",""
85,"aff",0,2.3,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",46,3,"do task",48,5,0,1,20,20,20,20,20,20,100,101,180,200,2,3,2,2,3,2,2,2,3,2,1,"KF800kz","LB941bt",56,"white","4yearColl","$140,001-$160,000","man","Full-time","no comments, thanks"
86,"dom",1,2.5,"This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","do task",48,2,"skip task",27,5,1,0,27,27,27,46,62,48,40,164,165,132,5,2,1,1,1,5,3,2,1,4,1,"VM414kq","ZC801er",37,"white","4yearColl","$100,001-$120,000","woman","Full-time",""
87,"dom",1,3.2,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","do task",35,5,"skip task",19,4,1,0,88,46,106,124,126,89,118,136,73,134,2,3,2,3,2,5,3,4,3,5,0,"RA103dx","WC835pl",31,"hispanic","MA","$80,001-$100,000","woman","Full-time",""
88,"aff",0,2.8,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","do task",34,2,"do task",40,6,0,1,50,80,115,130,150,175,190,200,200,200,4,5,1,2,2,3,3,2,3,3,1,"YF438np","AB972vt",29,"white","4yearColl","$60,001-$80,000","man","Full-time",""
89,"aff",0,2.8,"You are completely capable of successfully completing this task. You are smart, perceptive, and discerning: all things you need to complete this task well.","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","do task",45,1,"do task",45,7,0,1,80,80,100,100,100,100,200,200,200,200,2,3,1,4,3,4,2,1,5,3,1,"TO642sj","GJ795ld",27,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
90,"aff",0,1.4,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","Reminder those that do not complete the task will not be compensated properly.","do task",38,6,"do task",46,7,0,1,80,60,33,25,17,17,4,9,21,18,1,2,1,1,2,2,1,1,1,2,1,"VD105li","OL009mq",79,"white","GED","$40,001-$60,000","woman","Full-time",""
91,"aff",0,2.4,"I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.","You must complete this task. Do it to the best of your abilities, or else your bonus will be affected.","skip task",20,1,"do task",35,6,0,1,40,60,80,94,102,109,124,151,179,200,2,2,3,5,2,2,2,2,2,2,1,"DV618ch","PT099gj",26,"asian","4yearColl","$80,001-$100,000","woman","Temporarily laid off",""
92,"aff",0,2.3,"Before we begin this task I just want to let you know that I appreciate all the hard work you always do and offer you a chance for a bonus. I am going to assign you a task and if you do well, there is a bonus involved for you. I know that you generally perform well, so I'm not too concerned, but wanted to give you a heads up that the better you perform the better your bonus will be for this task. Thanks again for all your hard work!","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","do task",25,3,"do task",45,6,0,1,100,100,100,150,150,150,200,200,200,200,3,3,1,1,1,5,2,1,3,3,1,"HJ188qx","GV333wu",28,"white","MA","$40,001-$60,000","woman","Full-time",""
93,"aff",0,2,"Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","do task",39,3,"do task",41,5,0,1,2,2,2,2,2,2,4,40,42,57,2,2,2,2,2,2,1,2,2,3,1,"EP725gv","LC320iz",48,"black","4yearColl","$60,001-$80,000","woman","Full-time",""
94,"aff",0,1.8,"Whether you do well or not, I appreciate your hard work at this company and will continue to support you.","Reminder those that do not complete the task will not be compensated properly.","do task",15,1,"do task",40,6,0,1,0,20,50,100,130,165,175,200,200,200,1,1,2,2,2,2,2,1,3,2,1,"HU074mk","OL009mq",53,"white","4yearColl","$100,001-$120,000","man","Full-time",""
95,"aff",0,4.6,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","do task",40,3,"do task",46,6,0,1,0,0,50,50,100,100,125,125,175,200,6,5,5,5,3,6,5,5,5,1,1,"PA168kd","XD206yn",56,"white","4yearColl","$60,001-$80,000","man","Part-time",""
96,"aff",0,3.2,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",40,3,"do task",45,6,0,1,0,2,12,22,42,55,61,68,85,101,3,3,2,2,5,3,2,2,5,5,1,"KF800kz","LB941bt",48,"white","GED","$60,001-$80,000","man","Full-time",""
97,"aff",0,2.8,"Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",41,6,"do task",45,7,0,1,10,44,71,86,95,125,165,200,200,200,5,1,5,1,2,5,1,6,1,1,1,"EP725gv","XW406gb",47,"hispanic","2yearColl","$40,001-$60,000","woman","Full-time",""
98,"aff",0,3.2,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","skip task",30,3,"do task",40,6,0,1,86,75,75,62,71,87,91,124,120,140,4,3,2,3,3,5,3,2,4,3,1,"SM837hk","JI806xu",21,"black","2yearColl","$20,001-$40,000","woman","Part-time",""
99,"aff",0,2.3,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","skip task",47,2,"do task",50,7,0,1,16,35,40,53,60,84,107,132,162,200,4,1,1,4,2,5,1,1,2,2,1,"YF438np","AB972vt",29,"hispanic","GED","$40,001-$60,000","woman","Part-time","I enjoyed the options that were given and the scenario "
100,"aff",0,2.2,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.","do task",46,1,"do task",46,6,0,1,50,50,100,100,100,150,150,200,200,200,2,3,2,3,2,2,2,1,3,2,1,"TC529xj","LB941bt",41,"white","MA","Over $200,000","woman","Full-time","None"
101,"dom",1,1.9,"I am hoping you can lend your expertise on this request, given that I know you have a knack for this type of thing! I really appreciate your help, and please let me know if you have any questions!","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",41,6,"skip task",26,4,1,1,200,200,200,200,200,200,200,200,200,200,2,2,2,2,2,3,2,2,1,1,1,"UD880hg","XW406gb",38,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
102,"aff",0,2.2,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","skip task",20,1,"skip task",36,3,0,1,200,200,200,200,200,200,200,200,200,200,1,4,3,1,1,1,1,1,2,7,1,"YF438np","AB972vt",37,"asian","4yearColl","Over $200,000","man","Full-time",""
103,"aff",0,1.7,"Hi Team! Thank you so much for all your hard work so far this quarter. It has not gone unnoticed. Coming up, you will be automatically enrolled in an activity that requires your participation. It should not take long, and you will receive a small bonus in return. We realize that it has been especially busy, so if you need an extension on any deadlines in order to complete this task please do not hesitate to reach out.","This exercise determines your bonus. So do your best or your bonus will be affected.","skip task",25,1,"do task",48,6,0,1,15,40,60,100,100,200,200,200,200,200,1,1,1,6,1,1,1,1,3,1,1,"SM837hk","XW406gb",20,"white","GED","$0-$20,000",NA,"Part-time",""
104,"aff",0,1.8,"Hello everyone! Thank you all for agreeing to participate in this project. Please take your time and put forth your best effort in completing this activity. If any help is needed, please see me so that I can provide clarity and assistance. Good luck to you all!","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","skip task",42,2,"do task",41,6,0,1,0,0,0,0,6,15,28,54,84,104,2,2,1,1,1,4,2,1,2,2,1,"EP725gv","JI806xu",40,"asian","4yearColl","$60,001-$80,000","woman","Full-time",""
105,"dom",1,3.6,"I'm choosing this assignment for you because I know that I can count on you to do a great job. Thank you so much!","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","do task",50,7,"do task",39,5,1,0,160,146,132,145,117,165,130,166,130,163,5,1,5,6,1,5,3,6,2,2,0,"KF800kz","LC320iz",32,"white","4yearColl","$20,001-$40,000","woman","Part-time","exceptional"
106,"aff",0,2.7,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","skip task",40,3,"do task",50,6,0,1,20,40,60,80,100,120,140,160,180,200,5,3,2,2,1,5,2,3,2,2,1,"VD105li","ZC801er",38,"white","PHD","$80,001-$100,000","woman","Full-time",""
107,"dom",1,2.4,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","skip task",1,1,"do task",39,6,0,1,200,200,200,200,200,200,200,200,200,200,3,3,2,2,1,3,3,2,2,3,1,"PA168kd","LC320iz",43,"white","2yearColl","$20,001-$40,000","man","Full-time",""
108,"aff",0,3.9,"Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","do task",29,3,"do task",50,7,0,1,10,20,30,59,70,84,102,122,149,200,6,2,5,6,2,5,4,4,2,3,1,"YF438np","AB972vt",36,"black","4yearColl","$60,001-$80,000","man","Full-time","A Great Survey"
109,"aff",0,4,"This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",40,2,"do task",50,7,0,1,0,0,0,0,0,0,10,25,180,200,5,3,3,3,5,5,3,4,4,5,1,"VM414kq","XD206yn",57,"white","GED","$80,001-$100,000","man","Full-time",""
110,"aff",0,1.7,"Whether you do well or not, I appreciate your hard work at this company and will continue to support you.","Reminder those that do not complete the task will not be compensated properly.","skip task",25,1,"do task",40,7,0,1,75,100,100,150,150,175,175,200,200,200,1,2,2,1,2,2,1,1,3,2,1,"HU074mk","OL009mq",47,"white","4yearColl","$80,001-$100,000","woman","Part-time",""
111,"aff",0,3.2,"Team - We have an opportunity to earn meaningful bonuses on the upcoming pay cycle. This bonus depends on the accuracy of work you guys submit. The better the work, the higher the bonus we each receive. I know you guys are up to the task and I can't imagine anyone being better suited to nail this challenge than you guys! thanks for all of your hard work.","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","skip task",50,2,"do task",50,6,0,1,20,40,60,80,100,120,140,160,180,200,4,5,1,2,4,5,2,2,2,5,1,"BA092or","GJ795ld",52,"white","GED","Over $200,000","woman","Full-time",""
112,"aff",0,1.6,"We want to offer you a bonus for completing this task in its entirety to reward you being such a valuable part of our team. We believe in you, so give it your best shot!","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","skip task",35,2,"do task",45,7,0,1,25,50,50,50,100,100,100,200,200,200,1,1,1,2,2,1,2,1,3,2,1,"TC529xj","GJ795ld",23,"white","4yearColl",NA,NA,"Part-time, Student",""
113,"aff",0,1.6,"I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",25,2,"do task",45,6,0,1,60,100,120,160,200,200,200,200,200,200,1,1,2,4,1,2,1,1,1,2,1,"VQ327uf","WC835pl",32,"white","MA","$40,001-$60,000","man","Full-time",""
114,"aff",0,3.9,"I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!","Reminder those that do not complete the task will not be compensated properly.","do task",34,5,"do task",37,5,1,1,29,54,56,77,100,106,120,146,173,200,3,3,4,5,3,5,5,5,2,4,1,"OA261ld","OL009mq",33,"white","GED","$60,001-$80,000","man","Full-time",""
115,"dom",1,4,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","skip task",27,2,"do task",39,7,1,0,8,17,25,33,39,48,53,70,96,135,6,3,5,6,2,6,2,2,5,3,1,"JV696yc","LC320iz",27,"black","2yearColl","$60,001-$80,000","woman","Full-time",""
116,"aff",0,3,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","This exercise determines your bonus. So do your best or your bonus will be affected.","skip task",29,1,"do task",41,6,0,1,55,55,72,86,97,103,114,126,142,152,5,1,2,4,2,4,2,2,3,5,1,"JV696yc","XW406gb",38,"white","PHD","$100,001-$120,000","man","Full-time",""
117,"aff",0,1.4,"You totally got this! Please match as many as you can as quickly as you can. By helping me with the work, we can achieve a lot together.","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","do task",45,3,"do task",45,4,0,1,25,40,50,60,75,100,120,140,175,200,1,1,1,1,2,2,1,1,2,2,1,"XT894iw","JI806xu",43,"white","4yearColl","$20,001-$40,000","woman","Part-time",""
