"PID","cond","reflection","choicedom","message_choice","pref_cont","CWV","pred_choice","pred_comp","pred_att","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","att_2","is_elg","age","race","edu","income","gender","employment","feedback"
96,"neg","They will be under pressure of completing the tasks to get the bonus. So, they will thank their choice is restricted. ",0,"nondom",3,2.4,"do",46,5,10,20,30,40,50,60,70,80,90,100,2,2,2,6,2,2,2,2,2,2,1,1,1,52,"white","PHD","$100,001-$120,000","man","Full-time",""
97,"neg","They may have negative feelings because even though it says if you don't complete it but still do your best you'll get a bonus but not the complete bonus if you do well and complete the test. It may make them not want to work hard to finish the task because they feel like you don't have faith in them to finish the task but you still will use them to try. ",0,"nondom",2,2.2,"do",50,3,100,100,100,100,100,100,100,100,100,100,2,3,1,1,2,3,1,1,2,6,1,1,1,49,"white","GED","$80,001-$100,000","woman","Part-time",""
98,"neg","This response is curt and threatening. The tone isn't respectful.",0,"nondom",1,1.8,"do",32,2,100,100,100,100,100,100,100,100,100,100,1,1,1,5,1,2,2,1,1,3,1,1,1,33,NA,"MA","$40,001-$60,000","woman","Full-time",""
99,"pos","The employee might have a positive reaction to the manager and their relationship because the message uses mostly encouraging language. ",0,"nondom",1,2.9,"do",46,6,100,100,100,100,100,100,100,100,100,100,3,6,2,2,2,3,3,2,3,3,1,1,1,30,"white","MA","$80,001-$100,000","woman","Full-time",""
100,"neg","It seems like a high pressure task.  The compensation seems performance based",0,"nondom",3,2.5,"do",24,5,4,36,61,65,71,77,83,93,96,100,3,5,2,2,2,3,2,1,2,3,1,1,1,44,"white","2yearColl","$100,001-$120,000","man","Full-time",""
101,"neg","The ending part of this message sounds more like a threat. I think there is a potential for employees to feel afraid (or as though I'm trying to make them afraid) if I send this message ",0,"nondom",2,2.3,"do",29,2,50,75,75,100,100,100,100,100,100,100,3,3,2,2,2,2,2,2,3,2,1,1,1,33,"hispanic","PHD","$100,001-$120,000","man","Full-time",NA
102,"neg","This is a threat essentially. Do this or you don't get this. It adds pressure and makes me not want to respect the manager. ",0,"nondom",1,2.9,"skip",32,2,18,29,39,47,54,61,70,82,100,100,5,3,2,2,3,5,2,2,3,2,1,1,1,27,"asian","MA","$100,001-$120,000","woman","Full-time",""
103,"pos","My manager is getting right down to the point of the task and encouraging me to do the best I can so I can get the full bonus. The manager has confidence in me that I know what to do in the task at hand. ",0,"nondom",3,2.1,"do",46,5,11,20,28,43,50,61,67,84,97,100,3,2,2,2,1,4,2,1,2,2,1,1,1,55,"white","PHD","$100,001-$120,000","woman","Full-time",""
104,"neg","This message is worded in a way that feels almost like a threat of a punishment. The employee may have a negative reaction because they feel like they are being treated like a child rather than an adult who will complete tasks with integrity and responsibility.",0,"nondom",3,4,"do",45,6,0,0,20,20,30,50,70,80,90,100,5,4,3,2,3,5,4,6,5,3,1,1,1,23,"asian","4yearColl","$20,001-$40,000","woman","Full-time",""
105,"pos","this may indeed put too much pressure on some people. i feel that a more casual and friendly approach may be better for the person/ persons taking the task at hand",0,"nondom",1,3.2,"do",18,4,19,26,32,37,41,47,61,72,82,100,5,2,3,1,1,7,1,6,1,5,1,1,1,36,"white","GED","$40,001-$60,000","man","Full-time","thank you for using my data. i enjoy serving a larger purpose in things maybe unseen "
106,"pos","I think this message coveys a sense of respect to the employee because it is direct and not coddling. I feel like the employee would appreciate the manager's confidence and the clarity of the message.",1,"dom",4,1.8,"do",48,5,0,0,0,0,20,25,40,50,75,100,3,1,1,2,3,2,1,1,2,2,1,1,1,47,"white","GED","$40,001-$60,000","woman","Part-time",""
107,"neg","Hmm some people might interpret this message as too pushy or overbearing.",1,"dom",5,3.4,"do",36,6,9,20,30,40,50,60,66,78,90,100,5,3,3,5,2,5,2,2,2,5,1,1,1,34,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
108,"pos","They could be excited to try for a full completion and may try their best.  ",0,"nondom",1,3,"skip",25,4,10,20,30,40,50,60,70,80,90,100,4,2,5,3,1,6,1,4,2,2,1,1,1,44,"white","GED","Over $200,000","woman","Full-time",""
109,"neg","The employee may have a negative reaction to that message, affecting thier attitude towards the manager because it focuses on the negative rather than the positive. I initially had a negative reaction to this when I read it and preferred the latter of the two messages to send to my employee. A better message would have focused on the positive rather than the negative outcome.",0,"nondom",1,2.1,"skip",26,2,19,30,40,53,62,70,78,86,92,100,4,4,1,1,1,4,1,1,1,3,1,1,1,41,"white","GED",NA,"woman","Part-time",""
110,"neg","The message is kind of cold and lacking feeling. It is not positive or encouraging. It talks down to the employee as if they are inferior and aren't seen as a real person.",0,"nondom",1,1.9,"do",30,2,20,30,40,50,60,70,80,90,100,100,2,2,1,2,2,3,1,1,3,2,1,1,1,45,"white","GED","$0-$20,000","woman","Part-time",""
111,"neg","The manager is placing all the pressure on the employee and if the employee doesn't do as expected, there will be no bonus.",0,"nondom",3,1.5,"do",42,6,3,6,12,17,25,35,49,67,83,100,1,2,1,1,1,2,1,1,2,3,1,1,1,51,"white","MA","$160,001-$180,000","man","Full-time",""
112,"pos","It makes it sound like the manager is trying to motivate them with using the bonus as an inventive. I think it would depend on the employees temperment if they would keep a positive attitude towards the manager honestly. ",0,"nondom",1,2.6,"do",46,6,10,20,30,40,50,60,70,80,90,100,4,3,2,4,2,3,1,2,1,4,1,1,1,33,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
113,"pos","The employee would know that I want the best for them and care about their money/earnings  ",1,"dom",4,3,"do",40,5,6,15,20,25,36,50,55,85,90,100,4,3,2,2,3,4,3,2,3,4,1,1,1,31,"hispanic","4yearColl","$100,001-$120,000","woman","Full-time",""
114,"neg","The message is almost accusatory and very aggressive. It reminds them of the consequences of failure rather than the benefits of success.",0,"nondom",1,1.7,"do",25,1,100,100,100,100,100,100,100,100,100,100,2,1,1,1,1,1,2,1,3,4,1,1,1,52,"white","4yearColl","$140,001-$160,000","woman","Part-time",""
115,"pos","They have a positive feeling towards the manager because they are encouraging them to do their absolute best. The manager motivated them to try their hardest. ",1,"dom",5,3.2,"do",42,6,30,44,52,66,73,80,85,89,89,100,5,2,3,3,2,5,2,3,5,2,1,1,1,34,"asian","4yearColl","$100,001-$120,000","man","Full-time","None "
116,"pos","It makes the stakes very clear, so it removes any ambiguity. I suppose it would be motivating to know that your bonus is completely dependent on your performance.",0,"nondom",1,2.6,"do",39,2,27,36,41,49,56,63,73,86,95,100,4,3,1,2,2,3,2,3,2,4,1,1,1,38,"white","GED","$60,001-$80,000","man","Part-time",""
117,"pos","The employee could react positively to this message by realizing that the manager trusts them to do a good job on the task. Since there is a bonus attached to it then this means the task is important, so the employee views the manager as respecting their work if they are assigned this task.",0,"nondom",1,3.3,"do",40,6,0,10,20,40,60,70,80,90,100,100,7,7,1,1,3,6,1,2,3,2,1,1,1,25,"white","4yearColl","$40,001-$60,000","man","Full-time",""
118,"pos","The first sentence is a strong statement that acknowledges faith in the employee (You know the task at hand). A ""Do your best"" message is strong but not overbearing. Not a fan of the last sentence, but a good-natured employee who understands the stakes would still twist the message into: If you do well, you can get a bonus.",0,"nondom",3,2.2,"do",40,5,100,100,100,100,100,100,90,85,82,77,2,3,2,1,3,1,3,1,1,5,0,1,0,49,"white","4yearColl","$0-$20,000","woman","Part-time","Thank you! This was interesting."
119,"neg","The employee might feel the manager is being mean or pushy, which could make them mad and less likely to trust them. They might think the manager only cares about getting the job done, not about helping them, which could mess up their relationship.",0,"nondom",2,4.2,"do",50,4,30,39,53,60,75,82,90,95,98,100,5,3,5,5,3,4,4,5,4,4,1,1,1,37,"asian","4yearColl","$60,001-$80,000","woman","Full-time",""
120,"pos","I feel positive towards the message since they are trying to motivate and are honest. ",0,"nondom",1,2.3,"do",5,5,1,3,9,19,29,42,60,78,93,100,2,2,1,1,2,5,2,2,3,3,1,1,1,46,"white","2yearColl","$40,001-$60,000","woman","Full-time",""
121,"neg","The employee might think that the manager is being too demanding and bossy. The tone of the message is not very friendly.",0,"nondom",1,2.5,"skip",35,2,19,38,47,50,52,64,68,75,82,100,5,2,2,3,2,3,1,1,3,3,1,1,1,29,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
122,"neg","They might see the punishment of lo0sing the full bonus and be more discouraged. It might be better to use the carrot over the stick so to speak.",1,"dom",4,3,"do",41,6,50,57,63,67,72,76,82,87,93,100,5,2,2,3,2,3,3,2,5,3,1,1,1,25,"white","4yearColl","$80,001-$100,000","man","Full-time",""
123,"pos","This message comes off as passive aggressive; but, there is an incentive at the end that may offset the initial harshness. The manager would most likely seen as a mean, cold person. ",0,"nondom",1,2.7,"do",45,7,1,1,1,1,1,1,1,25,50,100,5,5,1,2,1,5,1,1,3,3,1,1,1,29,"white","PHD","$80,001-$100,000","man","Full-time",""
124,"neg","It is not an encouraging message.  It already puts a negative feel on the task at hand, putting negative emotions in the air.",0,"nondom",2,2.1,"do",25,2,71,78,87,94,100,100,100,100,100,100,2,3,2,1,2,2,2,1,3,3,1,1,1,46,"white","GED","$120,001-$140,000","woman","Part-time",""
125,"neg","Threatening tone is to be avoided in order to encourage the employee to do well. Threatening the loss of the bonus won't motivate them and will make them more likely to put forth minimal effort or no effort at all.",0,"nondom",2,2.1,"do",50,6,9,16,27,37,44,59,74,84,92,100,3,2,2,1,2,3,2,1,2,3,1,1,1,56,"white","4yearColl","$160,001-$180,000","woman","Part-time",""
126,"pos","One positive I see is that the manager is being fully transparent with his team as far as the results of the task. The manager also has faith in his team to comprehend the assignment and doesn't need to repeat it.",0,"nondom",2,3.5,"do",35,3,0,15,20,30,40,50,60,70,80,100,5,5,3,4,3,6,1,1,2,5,1,1,1,36,"black","MA","$120,001-$140,000","man","Full-time",""
127,"neg","this feels putative. It's a carrot and stick situation, but you're wielding the stick like a cudgel. I'd be frustrated that my boss was making me do something with a threat. ",0,"nondom",1,1.7,"do",45,5,10,20,30,40,50,60,70,80,90,100,2,3,1,1,2,2,1,1,2,2,1,1,1,34,"white","PHD","$140,001-$160,000","man","Full-time",""
128,"pos","The first sentence of the message conveys confidence in the employee and their knowledge. They could believe that I think that they are capable and knowledgeable about the task.",1,"dom",6,2.8,"do",40,4,3,11,25,45,64,85,93,95,98,100,3,5,1,2,3,5,1,1,4,3,1,1,1,35,"white","PHD","$100,001-$120,000","man","Full-time","none"
129,"pos","They might have a positive thought or feeling if they want to earn the bonus and also more so if they want to impress their manager",0,"nondom",1,2.6,"skip",24,2,2,2,2,2,2,2,2,2,2,2,4,4,1,1,4,3,2,1,3,3,1,1,1,48,"white","GED","$20,001-$40,000","woman","Full-time",""
130,"pos","The message is motivating. It feels like the manager wants the employee to take action and be successful at the task at hand. The manager seems invested in the employee's performance and success.",0,"nondom",3,1.4,"do",30,2,25,40,55,75,80,85,90,95,100,100,2,1,1,1,2,2,1,1,2,1,1,1,1,43,"white","MA","$60,001-$80,000","woman","Part-time",""
131,"neg","The last sentence of the message could be seen as being kind of infantilizing, as I read it as something a parent would say to explain consequences to their child. You could take out the ""and do it well"" and replace it with ""and select the correct answers"" to improve it.",1,"dom",4,2.3,"do",35,3,10,20,30,40,50,60,70,80,90,100,5,2,2,2,1,2,2,1,3,3,1,1,1,28,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
132,"neg","You may have negative thoughts and feelings while choosing the shape. You should just stay calm and continue to work on the task.",1,"dom",4,2.8,"do",36,5,14,24,48,64,81,92,97,98,100,100,2,3,2,5,2,2,6,2,2,2,1,1,1,26,"white","GED","$160,001-$180,000","man","Unemployed",""
133,"neg","It sounds threatening and unempathetic towards the employee.",0,"nondom",1,3.6,"skip",31,2,63,46,37,23,13,6,3,3,2,2,5,4,2,3,2,4,3,3,5,5,1,1,1,39,"white","2yearColl","$140,001-$160,000","woman","Full-time",""
134,"pos","The employee might appreciate the manager's directness and clear communication regarding expectations and consequences, fostering a sense of transparency.",0,"nondom",2,3.2,"do",35,4,77,71,62,55,49,43,34,25,19,13,4,2,2,2,5,6,2,5,2,2,1,1,1,40,"multiracial","GED","$60,001-$80,000","man","Full-time",""
135,"pos","If the manager knows them well and understands how they respond to this type of message, it might be a positive message for them. The manager is encouraging them to do their best, and reminding them that the goal is to get the full bonus.",0,"nondom",1,1.6,"skip",30,2,10,20,30,40,50,60,70,80,90,100,1,1,1,1,1,4,1,1,2,3,1,1,1,52,"white","MA","$40,001-$60,000","woman","Part-time",""
136,"pos","Knowing that getting the full bonus depends on performance may inspire the employee to try their best.",1,"dom",4,2.4,"do",41,5,20,28,36,47,61,74,100,100,100,100,2,3,1,1,1,5,1,1,5,4,1,1,1,46,"white","GED","$40,001-$60,000","man","Part-time",""
137,"neg","Well, I don't think anyone likes to be threatened so they would not appreciate this message and would have a bad opinion of me.",0,"nondom",1,2,"do",40,2,100,100,100,100,100,100,100,100,100,100,2,1,1,1,4,2,2,1,3,3,1,1,1,45,"white","MA","$80,001-$100,000","man","Full-time","no other comments"
138,"pos","They would fully understand that if they do a good job, they would be able to get the $1 bonus.",1,"dom",5,1.5,"do",50,6,50,60,65,70,75,80,85,90,95,100,2,2,1,1,1,1,2,1,2,2,1,1,1,38,"white","4yearColl","$40,001-$60,000","man","Part-time",""
139,"pos","The employee will hear bonus and of course additional money would make anyone feel positive about a task. The message also feels like there is confidence in the employee and that too would have positive feelings ",1,"dom",4,2.6,"do",45,5,1,5,10,15,20,25,35,50,70,100,3,3,2,2,2,3,4,1,3,3,1,1,1,29,"white","GED","$40,001-$60,000","woman","Part-time",""
140,"neg","Phrasing it in this way will make the employee feel like they don’t have a choice in the matter. It also kind of threatens a punishment if the job is not “well done”. ",0,"nondom",1,1.7,"skip",20,1,100,100,100,100,100,100,100,100,100,100,4,1,1,1,1,5,1,1,1,1,1,1,1,42,"white","GED","$40,001-$60,000","man","Full-time",""
141,"pos","The employee might appreciate the manager's clear expectations and motivational push, feelign that the manager believes in their ability to succeed and values their effort enough to tie it to a tangible reward. this could foster a sense of trust in the manager's directness and investment in their performance, strengthening their workign relationship.",1,"dom",5,4,"do",35,6,13,17,10,12,60,68,73,79,66,63,5,3,5,5,3,5,3,5,3,3,1,1,1,41,"hispanic","GED","$0-$20,000","man","Part-time",""
142,"neg","The manager is so threatening and thinks I'm a child.",0,"nondom",2,2.5,"do",45,2,5,20,25,40,50,50,75,75,90,100,5,1,1,2,2,5,2,1,3,3,1,1,1,55,"multiracial","4yearColl","$60,001-$80,000","man","Part-time",""
143,"pos","They would have a positive feeling knowing that if they do well they will receive more money.",0,"nondom",3,3.1,"skip",35,3,26,49,75,80,85,89,100,100,100,100,2,4,2,2,3,4,3,3,3,5,1,1,1,44,"white","GED","$40,001-$60,000","man","Full-time",""
144,"neg","They probably see it as a threat to not pay them any bonus at all if they make a single mistake.  I would have negative thoughts about this message as a result were I in their shoes.",0,"nondom",2,3.8,"do",50,5,10,20,30,40,50,60,70,80,90,100,4,4,4,3,4,4,4,1,5,5,1,1,1,42,"white","4yearColl","$20,001-$40,000","man","Full-time",""
145,"pos","The employee might think positively about receiving the full bonus if they do their best and they want to please the manager.",0,"nondom",3,2.7,"do",35,4,0,0,0,0,34,34,81,81,100,100,5,3,1,1,1,5,2,2,5,2,1,1,1,55,"white","MA","$120,001-$140,000","woman","Full-time",""
146,"neg","The wording at the end is a little abrasive.  It sounds like a threat instead of encouragement, I would reword to be more positive.  But I also want them to know that their work does have a financial reward.",1,"dom",4,2.4,"do",40,3,0,10,20,30,40,50,60,70,90,100,4,3,1,1,3,5,1,1,2,3,1,1,1,51,"white","MA","Over $200,000","man","Full-time",""
147,"neg","This feels like a threat.  It doesn’t feel supportive either ",0,"nondom",1,5.2,"do",50,7,5,10,15,20,30,40,50,60,80,100,5,4,5,7,1,7,3,7,7,6,1,1,1,48,"white","4yearColl","$60,001-$80,000","woman","Full-time","None"
148,"pos","The employee may feel that the manager is being upfront about his expectations of how well the task should be completed.",0,"nondom",1,2.4,"skip",41,3,9,23,39,53,66,77,87,92,93,100,3,3,2,2,2,2,3,2,2,3,1,1,1,23,"asian","4yearColl","$120,001-$140,000","woman","Full-time",""
149,"pos","They are being incentivized to do their best on the task and have the pressure put on them.",0,"nondom",2,2.8,"do",35,3,5,15,20,26,40,40,44,50,60,75,3,3,2,2,2,5,2,2,4,3,1,1,1,33,"white","PHD","$140,001-$160,000","woman","Full-time",""
150,"pos","Conveys that the person doing the task is competent enough to do the task. Also mentions the bonus which is incentivizing",1,"dom",5,2.4,"do",44,5,9,14,16,42,48,56,65,77,91,100,2,2,2,3,2,3,2,3,2,3,1,1,1,41,"white","4yearColl","$100,001-$120,000","man","Full-time",""
151,"neg","The message is pretty short and snippy. It isn't really encouraging, but focuses on the punishment.",0,"nondom",2,1.5,"skip",22,2,9,20,31,39,53,64,70,77,86,98,2,1,2,1,1,2,1,1,3,1,1,1,1,31,"white","MA","$100,001-$120,000","woman","Full-time",""
152,"neg","They would feel negatively pressured and more stressed about getting the answers correct. They might also intentionally get things wrong to spite the manager. ",0,"nondom",1,4.4,"skip",19,2,9,20,30,39,50,60,70,79,91,100,5,5,5,4,3,5,5,5,3,4,1,1,1,31,"asian","MA","$20,001-$40,000","man","Full-time",""
153,"neg","This message has the potential to make them feel pressured or shamed. That might be effective motivation for some people, but I believe that for most it will stress them out and make them feel bad about themselves and put strain on our relationship. I don't want them to feel that they're letting me down.",0,"nondom",3,2.6,"do",35,3,50,55,60,65,70,75,85,90,95,100,4,2,1,4,2,2,3,1,4,3,1,1,1,34,"white","4yearColl","$20,001-$40,000","woman","Full-time",""
154,"pos","This message is encouraging in the sense that the manager is encouraging the employee to do the absolute best",0,"nondom",2,3.2,"do",40,5,0,0,0,0,5,12,24,35,61,80,5,3,3,2,2,5,3,1,6,2,1,1,1,31,"asian","MA","Over $200,000","man","Full-time",""
155,"neg","Because in this message I am not encouraging the. I am using a threat to withhold their bonus if they do not perform well.",0,"nondom",1,3.1,"skip",35,2,50,50,50,50,50,75,75,80,100,100,4,3,2,2,3,5,2,2,4,4,1,1,1,64,"white","GED","$0-$20,000","man","Full-time","Nothing to add."
156,"pos","This statement might be encouraging the person to score the most points to earn maximum bonus.",0,"nondom",2,2.6,"do",45,2,50,50,50,50,50,100,100,100,100,100,3,3,2,2,2,2,3,3,3,3,1,1,1,38,"asian","PHD","$100,001-$120,000","man","Full-time",""
157,"neg","The first part of the message is fine, but the threatening nature of the third sentence does not sit well with me. The employee may feel pressured and unduly anxious while trying to complete the task. ",0,"nondom",1,1.8,"do",40,5,30,30,40,40,50,60,75,100,100,100,1,2,2,2,2,1,3,1,2,2,1,1,1,52,"white","MA","$140,001-$160,000","man","Full-time",""
158,"pos","It reminds them their bonus is at risk and will be motivating to them.  They also will see their boss and serious and not want to disappoint them.",0,"nondom",1,1.5,"do",36,2,50,50,50,50,75,75,75,75,100,100,2,1,1,2,1,1,1,1,3,2,1,1,1,40,"white","4yearColl","$100,001-$120,000","woman","Full-time",""
159,"neg","The message sounds authoritative and threatening. Making an employee feel included and supported is the best way to get the most work from an employee. Comments like 'you will not get the full bonus"" are rather not encouraging.",0,"nondom",1,2.8,"skip",30,1,5,10,30,40,45,50,60,70,75,90,5,6,2,1,2,5,1,1,2,3,1,1,1,24,"black","4yearColl","$80,001-$100,000","woman","Full-time",""
160,"pos","I think the employee may react positively to the idea of doing their absolute best during the round. I think the employee may think that the manager believes in them. ",0,"nondom",1,3.5,"skip",25,3,10,10,30,60,60,90,90,100,100,100,3,3,3,4,4,4,3,2,5,4,1,1,1,29,"black","MA","$80,001-$100,000","woman","Full-time",""
161,"neg","The tone set makes them feel like they'll disappoint their manager by not getting the full bonus. The employee won't feel like they're doing something right, just avoiding doing something wrong ",0,"nondom",1,3.3,"skip",50,1,20,25,25,25,50,65,75,92,91,100,5,3,1,5,2,5,6,2,2,2,1,1,1,27,"white","4yearColl","$60,001-$80,000","man","Full-time",""
162,"neg","It is aggressive and judgmental and somewhat threatening.  They might feel like I'm being rude.",0,"nondom",3,2,"do",40,5,100,100,100,100,100,100,100,100,100,100,2,2,2,2,1,2,2,1,4,2,1,1,1,37,"white","4yearColl","$0-$20,000","woman","Full-time",""
163,"pos","This seems like a more personal response compared to the other one which seems more robotic and generic",1,"dom",5,3.2,"do",40,6,3,8,13,18,22,28,33,38,43,48,4,6,2,2,2,3,2,2,3,6,1,1,1,23,"white","4yearColl","$60,001-$80,000","man","Full-time",""
164,"neg","This message sounds intimidating and stressful. Its worded as more of an order and threatens to take away bonus pay if the employee makes a mistake, it's not at all encouraging. ",0,"nondom",1,2.6,"do",42,6,10,20,30,40,50,60,70,80,90,100,3,3,2,2,3,3,2,2,3,3,1,1,1,45,"white","GED","$60,001-$80,000","woman","Homemaker",""
165,"neg","The message above seems pretty passive aggressive. As an employee I would not want to hear that, and as a manager I would not say that because it seems rude.",0,"nondom",3,1.8,"do",35,6,10,20,30,40,50,60,70,80,90,100,3,1,2,2,2,2,2,1,1,2,1,1,1,19,"hispanic","GED","$20,001-$40,000","man","Student",""
166,"neg","I can see it being negative, because of the pressure of not receiving a bonus if they don't complete the task. I think if the employees are more relax they won't be too stress to reach an acceptable outcome.",0,"nondom",3,2.8,"do",35,3,100,100,100,100,100,100,100,100,100,51,5,5,2,2,1,5,2,1,2,3,1,1,1,42,"asian","2yearColl","$100,001-$120,000","man","Full-time",""
167,"pos","It explains the consequences and tries to get the employee excited about it. It encourages to win the bonus. ",0,"nondom",2,1.8,"do",39,5,0,5,10,25,30,50,55,60,65,100,3,1,1,2,1,1,2,1,3,3,1,1,1,47,"white","GED","$60,001-$80,000","woman","Part-time","Thank you "
168,"neg","there is an explicit negative threat that would offend many workers",0,"nondom",1,3.1,"skip",0,2,10,20,30,40,50,60,70,80,90,100,3,3,3,3,3,3,3,3,3,4,1,1,1,58,"white","4yearColl","$40,001-$60,000","man","Full-time",""
169,"pos","This message is straight to the point. There is no interpretation needed so exmployees might know exactly what the point of the task is and what is at stake",0,"nondom",2,2.4,"do",41,5,0,10,20,30,40,50,60,70,80,100,5,2,1,1,1,4,2,1,4,3,1,1,1,28,"white","MA","$100,001-$120,000","woman","Part-time, Student",""
170,"pos","The pressure to absolutely do your best and not accept any other outcomes creates a sense of unnecessary pressure on the employee to not make any mistakes. Mistakes are how we learn and grow, and to try to create a culture that avoids that is not conductive towards growth and development.",0,"nondom",3,2.7,"do",41,2,20,31,40,51,59,69,79,86,92,100,6,1,3,5,1,3,1,3,2,2,1,1,1,32,NA,"4yearColl","$140,001-$160,000","man","Full-time",""
171,"neg","If I were an employee a message like this world actually discourage me, I'd feel pressured\uncomfortable about performing by my manager. ",0,"nondom",1,2.1,"skip",40,3,10,20,30,40,50,60,70,80,90,100,3,2,1,2,1,3,1,2,3,3,1,1,1,60,"white","4yearColl","$100,001-$120,000","man","Full-time",""
172,"neg","The employee might feel that I was telling them to do well even if they are not going to get a bonus.  They might feel as though they are being cheated.",0,"nondom",2,1.7,"skip",40,2,9,10,11,12,20,20,30,40,40,50,2,3,1,3,1,3,1,1,1,1,1,1,1,77,"white","PHD","$120,001-$140,000","man","Part-time",""
173,"pos","They may feel positive about the potential for getting the full bonus. They may feel like there is a no nonsense approach from the manager.",0,"nondom",1,1.7,"do",30,3,20,20,20,20,90,90,100,100,100,100,1,2,1,1,1,3,2,1,3,2,1,1,1,35,"white","4yearColl","$160,001-$180,000","man","Full-time",""
174,"pos","I do not think the message the manage sent was a very encouraging one. I feel that the employee will be a bit taken aback by it's gruff nature. The only good thing I think might come out of this is the manager might want the employee to be fired up and really want to impress the employer",0,"nondom",1,1.7,"do",25,1,5,10,15,20,25,30,35,40,45,50,1,1,1,1,1,4,1,1,2,4,1,1,1,59,"white","2yearColl","$60,001-$80,000","woman","Full-time",""
175,"pos","The employee would have a negative reaction to this message because it would put him/her under pressure.",0,"nondom",1,4.3,"skip",19,1,25,41,46,53,68,81,92,93,92,97,3,6,3,3,5,3,6,3,6,5,1,1,1,33,"black","4yearColl","$120,001-$140,000","woman","Full-time","why was I asked for my favorite color"
176,"pos","The employee would have a positive reaction to the message because they want to get into the task and get a full bonus.",0,"nondom",1,3.3,"do",50,7,5,10,15,20,25,30,35,40,45,50,5,4,4,2,3,5,3,2,2,3,1,1,1,42,"white","GED","$140,001-$160,000","man","Full-time",""
177,"neg","This message focuses on the negative and is very severe-sounding. ",0,"nondom",1,2.1,"do",26,5,100,100,100,100,100,100,100,100,100,100,3,2,1,1,2,3,2,1,3,3,1,1,1,42,"white","2yearColl","$100,001-$120,000","man","Full-time",""
178,"neg","It’s time to get in there and do your absolute best can be worded “ try to do your best so you can get the full bonus! “  the original sentence isn’t very enthusiastic or doesn’t get me excited about the bonus. ",0,"nondom",2,2.3,"do",35,3,5,10,15,20,25,35,45,65,75,100,5,3,1,1,2,3,2,1,2,3,1,1,1,52,"white","2yearColl","$40,001-$60,000","woman","Part-time",""
180,"pos","The employ would be positively motivated so they could work hard for the bonus knowing it was on the line.  It also positively motivates them by telling them they already understand the task.",0,"nondom",1,1.8,"do",30,3,5,12,22,32,42,52,62,80,90,100,2,7,1,1,2,1,1,1,1,1,1,1,1,43,"white","4yearColl","$40,001-$60,000","man","Part-time",""
181,"neg","It has a feel of being very cold and direct. It will give the employee the feeling of being left alone without the managers support. ",0,"nondom",1,2.6,"skip",25,1,5,20,30,40,50,60,70,80,90,100,5,3,1,2,2,5,1,1,2,4,1,1,1,51,"white","2yearColl","$140,001-$160,000","man","Full-time","Not applicable"
182,"neg","It seems very straightforward, but it could also come across as cold which could make the employee feel under pressure. ",0,"nondom",1,1.8,"do",41,6,25,25,30,50,75,75,100,100,100,100,1,2,1,1,3,4,1,1,2,2,1,1,1,24,"white","GED","$80,001-$100,000","woman","Full-time",""
183,"neg","It sounds like a threat so everyone has negative thought about it.",0,"nondom",1,3,"skip",28,2,39,50,44,46,47,54,60,60,60,60,2,3,4,2,2,5,3,2,3,4,1,1,1,27,"black","4yearColl","$40,001-$60,000","man","Full-time",""
184,"neg","They might have a negative attitude towards the manager because it sounds aggressive and not supportive at all. It sounds as if an ultimatum is being given.",0,"nondom",1,3.1,"skip",15,1,0,10,15,20,25,30,35,40,45,50,4,3,1,2,2,4,4,1,4,6,1,1,1,41,"hispanic","4yearColl","$60,001-$80,000","woman","Full-time",""
185,"pos","Let's do our best and go for the best bonus we can and share it with the entire group",0,"nondom",2,2.6,"do",45,6,100,100,100,100,100,100,100,100,100,100,4,3,2,3,2,3,2,2,2,3,1,1,1,32,"asian","4yearColl","Over $200,000","man","Full-time",""
186,"neg","They might think I am being too harsh and only focused on the result and not how they're feeling. They could also feel like i don't trust them enough to do their work well",0,"nondom",2,3.4,"do",35,4,100,90,75,65,85,76,79,73,79,88,2,4,5,6,1,7,2,4,1,2,1,1,1,28,"white","4yearColl","$60,001-$80,000","woman","Part-time",""
187,"pos","The manager is encouraging and wants me to get the highest bonus possible.",1,"dom",5,2,"do",47,6,0,5,10,16,20,28,32,50,72,92,3,3,1,1,2,2,2,1,2,3,1,1,1,67,"white","4yearColl","$60,001-$80,000","man","Retired",""
188,"pos","The employee might feel positively because the manager is emphasizing the possibility of a bonus, and not basing doing well on something unrelated to financial gain. ",1,"dom",5,2.1,"do",48,5,100,100,100,100,100,100,100,100,100,100,1,1,1,2,2,1,2,1,5,5,1,1,1,25,"white","GED","Over $200,000","woman","Full-time",""
189,"pos","This choice implies that I as manager, believe my employee can do well on this task. Employees like compliments",0,"nondom",1,2.6,"do",30,5,9,26,32,41,48,53,59,64,69,96,1,3,1,6,2,2,2,2,4,3,1,1,1,57,"white","4yearColl","$80,001-$100,000","woman","Full-time",""
